ID	Main category	Secondary category	Tertiary category	Hard
25364651	List of Summaries/Excerpts	Promotion of a Product		
25665713	Call		Information/Explanation	
27363653#1	Instruction			
29263584	List of Summaries/Excerpts	Promotion of a Product		
29865729	Promotion	Call		
30165669	Opinionated News	Promotion		
30467090	Opinion/Argumentation			
32767713	News/Reporting			
33766990	Information/Explanation			
34465867	List of Summaries/Excerpts			
35563441	List of Summaries/Excerpts		News/Reporting	
35866681	Information/Explanation	News/Reporting		H
36264271	Forum			
36566082	Promotion of a Product	Information/Explanation		
37663396	Legal/Regulation			H
38765987	Opinion/Argumentation	Information/Explanation		
39565756	Information/Explanation			
39966342	Promotion of a Product			
40765569	Opinionated News			
41965345	Opinion/Argumentation			
471406	Promotion of a Product			
771804	Information/Explanation	Promotion of a Product		
771804#1	Recipe			
1072843	Instruction		Opinion/Argumentation	
1271745	Opinion/Argumentation	Review		
1271745#1	Information/Explanation			
1869667	Opinion/Argumentation	Information/Explanation	Promotion	
3070413	FAQ		Information/Explanation	H
3270546	News/Reporting	Opinionated News		
3270546#1	List of Summaries/Excerpts			
3670781	Other			
4272524	Promotion of a Product			
4969323	Forum			
5170658	List of Summaries/Excerpts			
6072833	List of Summaries/Excerpts			
6072833#2	List of Summaries/Excerpts		Opinionated News	
6072833#3	Announcement			
6570692	Opinionated News			
7069544	Other			
7271559	News/Reporting		Information/Explanation	
7972644	Opinion/Argumentation			
8269465	News/Reporting			
8472041	Promotion	Promotion of a product		
8971889	Announcement	Promotion of services		H
9269106	News/Reporting		Promotion	
9269106#1	Promotion	Information/Explanation	Promotion of a product	
10171917	Call			
10671237	List of Summaries/Excerpts			
11372613	Promotion		Information/Explanation	H
12170252	Legal/Regulation			
13468354	Promotion of a Product	Information/Explanation		
15270073	News/Reporting	Opinionated News		
16071926	Information/Explanation			
16370824	Announcement	Invitation		
17871072	News/Reporting		List of Summaries/Excerpts	
18769122	Promotion	News/Reporting	Promotion of a product	H
19272986	Other			
19871313	News/Reporting	Information/Explanation		
19871313#1	Opinionated News			
19871313#2	News/Reporting		Promotion of a Product	
19871313#3	Opinionated News			
19871313#4	Opinionated News			
21069529	Instruction		Promotion of a Product	
22569254	News/Reporting	Information/Explanation		
23770022	Other			
24071055	List of Summaries/Excerpts			
24468289	News/Reporting			
24468289#1	Opinionated News	List of Summaries/Excerpts		
24769936	Forum			
25371784	Invitation			
26071580	Promotion of a Product	Information/Explanation		
26770095	Promotion of a Product			
27071386	Other			
27672639	Information/Explanation			
28670057	Promotion		Information/Explanation	
30570526	Information/Explanation	Promotion		
31268416	Forum			
32472742	List of Summaries/Excerpts			
32869156	News/Reporting			
33868957	Opinion/Argumentation	Information/Explanation		
33868957#1	List of Summaries/Excerpts	Opinion/Argumentation		
34869825	List of Summaries/Excerpts		News/Reporting	
35970091	News/Reporting		Promotion	
36272232	Promotion	Information/Explanation		
36272232#1	Instruction			
37671829	Promotion of a Product	Information/Explanation		
41172888	List of Summaries/Excerpts			
41972165	Announcement			
177483	List of Summaries/Excerpts	Promotion		
374730	Information/Explanation		Promotion of a Product	
476885	List of Summaries/Excerpts	Promotion		
674213	List of Summaries/Excerpts	Promotion of a Product		
975590	Opinion/Argumentation			
1277644	List of Summaries/Excerpts	Invitation		H
